variant,seed,status,mean_val_sharpe,mean_val_pnl
no_penalty,0,completed,0.37437736638035446,71.00158937595045
no_penalty,1,completed,0.41003609566451654,269.05647163912136
no_penalty,2,completed,0.19391718490769305,44.7820493137682
no_penalty,3,completed,0.3602272322533828,143.37574076564178
no_penalty,4,completed,0.34865590739965685,89.695607242642
inv_only,0,completed,0.5079397974862828,287.77919354289486
inv_only,1,completed,0.4266030697561216,322.7241206968033
inv_only,2,completed,0.46675093422520453,124.07075371167618
inv_only,3,completed,0.45687507840824987,114.11173991710011
inv_only,4,completed,0.5078450301307272,205.0074089013747
turn_only,0,completed,0.28705963455183175,81.90704555960586
turn_only,1,completed,0.3855778937071821,134.54705179311978
turn_only,2,completed,0.2700170524485825,114.78664495117704
turn_only,3,completed,0.3372616429887344,186.54440643640783
turn_only,4,completed,0.3288912828117192,193.08210030078828
both,0,completed,0.7369977121044553,199.35849836153844
both,1,completed,0.4185308725114155,158.62272717521222
both,2,completed,0.5539175307090595,352.89722927208913
both,3,completed,0.466326305081415,155.9843523037472
both,4,completed,0.38106225411705125,305.0592787824701
